PlayerID,FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp,Year,Duplicate
VWS5Ki,Christian,Duke,KC,D,"36500.0","36500.0",2014,BSulT8OL
AhzB5f,Cameron,Dunbar,LA,F,"90000.00","106750.00",2020,vQmm4rUi
AhzB5f,Cameron,Dunbar,LA,F,"100000.00","116750.00",2021,7Z5XUTaZ
AhzB5f,Cameron,Dunbar,LA,F,"120000.00","136750.00",2022,n5nOlcAF
AhzB5f,Cameron,Dunbar,MNUFC,M,"165000.00","181750.00",2023,DE5fe4yu
lmKHWE,Kyle,Duncan,RBNY,D,"54500.04","54500.04",2018,kqY7taOx
lmKHWE,Kyle,Duncan,RBNY,D,"70250.04","70250.04",2019,2BL4ZCvU
lmKHWE,Kyle,Duncan,RBNY,D,"81375.00","81375.00",2020,gJkN0UGo
lmKHWE,Kyle,Duncan,RBNY,D,"93581.00","93581.00",2021,g4GTVLgJ
lmKHWE,Kyle,Duncan,RBNY,D,"268212.00","293610.00",2022,CixU6BYe
lmKHWE,Kyle,Duncan,RBNY,D,"500000.00","555750.00",2023,YRDI0cYb
lmKHWE,Kyle,Duncan,RBNY,D,"500000.00","555750.00",2024,kNUjzJLI
lmKHWE,Kyle,Duncan,RBNY,D,"500000.00","555750.00",2025 Sp,cfmX5wH4
JfncnP,Terry,Dunfield,TOR,M,"65000.0","65000.0",2011,jUuEjWQf
JfncnP,Terry,Dunfield,TOR,M,"86000.0","86000.0",2012,MIG5ALlQ
JfncnP,Terry,Dunfield,MLS,M,"120000.0","120000.0",2013,3DpBF5kN
E7fFBJ,Todd,Dunivant,TOR,D,"99750.0","99750.0",2007,kFBH2tt9
E7fFBJ,Todd,Dunivant,TOR,D,"104737.5","104737.5",2008,F1sLUbgZ
E7fFBJ,Todd,Dunivant,LA,D,"109974.38","109974.38",2009,o7biLkqt
E7fFBJ,Todd,Dunivant,LA,D,"120000.0","126750.0",2010,UxhgCTib
E7fFBJ,Todd,Dunivant,LA,D,"135000.0","141750.0",2011,DwVvazAN
E7fFBJ,Todd,Dunivant,LA,D,"140000.0","146750.0",2012,PngK1dw1
E7fFBJ,Todd,Dunivant,LA,D,"150000.0","156750.0",2013,v32jgees
E7fFBJ,Todd,Dunivant,LA,D,"140000.0","160750.0",2014,mMbdZBOj
E7fFBJ,Todd,Dunivant,LA,D,"185000.0","205750.0",2015,vp1wBHRO
kFP0xM,Reagan,Dunk,RSL,D,"53004.0","53004.0",2017,U0MNxKs6
7gI9ew,Julian,Dunn,TOR,D,"54500.04","54500.04",2018,v650x4D7
